sep=;,,,,
,,,,
,,,,
 Database search results for buyer 'All Countries' and seller  'All Countries' and the years from 1989 to 1989 - (created: 09-05-2019),,,,
,,,,
Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production,,,,
3984;United States;Australia;AIM-9L Sidewinder;SRAAM;Missiles;1983;Yes;60;Yes;1989;Yes;New;0.1100;0.1100;6.6;No,,,,
24312;Soviet Union;Cambodia;An-24;Transport aircraft;Aircraft;1987;Yes;2;Yes;1989;Yes;Second hand;7.5000;3;6;No,,,,
24259;United States;Italy;Bell-212/UH-1N;Helicopter;Aircraft;1986;No;3;Yes;1989;No;New;3.7000;3.7000;11.1;Yes,,,,
16763;United States;Greece;HR-3000 HADR;Air search radar;Sensors;1985;No;1;No;1989;No;New;11.0000;11.0000;11;No,,,,
19464;Soviet Union;Finland;Igla-1/SA-16;Portable SAM;Missiles;1987;Yes;30;Yes;1989;Yes;New;0.0700;0.0700;2.1;No,,,,
25759;France;Cote d'Ivoire;ACMAT APC;APC;Armoured vehicles;1988;Yes;10;No;1989;Yes;New;0.1600;0.1600;1.6;No,,,,
18649;United States;Egypt;MIM-23B HAWK;SAM;Missiles;1989;No;130;Yes;1989;No;New;0.1700;0.1700;22.1;No,,,,
7631;Soviet Union;Czechoslovakia;Mi-8T;Transport helicopter;Aircraft;1966;Yes;6;No;1989;No;New;6.0000;6.0000;36;No,,,,
16778;Soviet Union;Czechoslovakia;Mi-8MT/Mi-17;Transport helicopter;Aircraft;1985;Yes;10;Yes;1989;No;New;6.7500;6.7500;67.5;No,,,,
18187;United States;Morocco;M-48A5 Patton;Tank;Armoured vehicles;1987;No;50;Yes;1989;No;Second hand;1.7500;0.7;35;No,,,,
19650;Soviet Union;Cambodia;M-46 130mm;Towed gun;Artillery;1989;Yes;30;Yes;1989;No;Second hand;0.6500;0.26;7.8;No,,,,
24823;United Kingdom;Mauritania;Island;OPV;Ships;1989;No;1;No;1989;No;Second hand;20.0000;8;8;No,,,,
19667;Soviet Union;Cambodia;BM-14 140mm;Self-propelled MRL;Artillery;1988;Yes;10;Yes;1989;No;Second hand;0.2400;0.096;0.96;No,,,,
24914;Sweden;Oman;9LV;Fire control radar;Sensors;1986;Yes;1;No;1989;No;New;2.5000;2.5000;2.5;No,,,,
19843;China;Bangladesh;F-7M Airguard;Fighter aircraft;Aircraft;1989;Yes;16;No;1989;No;New;11.0000;11.0000;176;No,,,,
19720;United States;Brazil;Garcia;Frigate;Ships;1989;No;4;No;1989;No;Second hand;135.0000;54;216;No,,,,
2902;Soviet Union;Czechoslovakia;9K31/SA-9;Mobile SAM system;Air defence systems;1979;No;5;Yes;1989;Yes;New;1.0000;1.0000;5;No,,,,
25178;Soviet Union;Czechoslovakia;BTR-60P;APC;Armoured vehicles;1979;Yes;2;Yes;1989;Yes;New;0.2200;0.2200;0.44;No,,,,
16779;Soviet Union;Czechoslovakia;Strela-10/SA-13;Mobile SAM system;Air defence systems;1984;Yes;17;Yes;1989;No;New;1.2500;1.2500;21.25;No,,,,
19500;United States;Taiwan;Mk-15 Phalanx;CIWS;Air defence systems;1989;Yes;2;Yes;1989;Yes;New;7.0000;7.0000;14;No,,,,
16843;Netherlands;United Kingdom;Goalkeeper;CIWS;Air defence systems;1985;No;5;Yes;1989;Yes;New;10.0000;10.0000;50;No,,,,
19635;Switzerland;Malaysia;Skyguard;Fire control radar;Sensors;1988;No;4;Yes;1989;No;New;5.0000;5.0000;20;No,,,,
19704;East Germany (GDR);Ethiopia;T-55;Tank;Armoured vehicles;1989;No;50;Yes;1989;No;Second hand;1.2500;0.5;25;No,,,,
18931;United Kingdom;Kuwait;Valkyr;APC;Armoured vehicles;1988;No;2;No;1989;No;New;0.2000;0.2000;0.4;No,,,,
19443;France;Venezuela;AMX-13/90;Light tank;Armoured vehicles;1988;No;16;Yes;1989;No;Second hand but modernized;1.1000;0.726;11.616;No,,,,
19460;Israel;Chile;Saar;FAC;Ships;1988;No;2;No;1989;No;Second hand;55.0000;22;44;No,,,,
20970;Netherlands;Turkey;DA-08;Air search radar;Sensors;1982;Yes;1;Yes;1989;Yes;New;9.0000;9.0000;9;No,,,,
17843;Italy;Turkey;Seaguard;Naval gun;Naval weapons;1982;Yes;2;Yes;1989;Yes;New;2.5000;2.5000;5;No,,,,
20323;Netherlands;Turkey;STIR;Fire control radar;Sensors;1982;Yes;1;Yes;1989;Yes;New;4.5000;4.5000;4.5;No,,,,
19461;Israel;Chile;Gabriel-2;Anti-ship missile;Missiles;1988;Yes;24;Yes;1989;Yes;New;0.7000;0.7000;16.8;No,,,,
25722;Italy;Venezuela;Type-6614;APC;Armoured vehicles;1988;Yes;14;Yes;1989;Yes;New;0.1800;0.1800;2.52;No,,,,
4728;United States;Australia;S-70B/SH-60B Seahawk;ASW helicopter;Aircraft;1985;No;8;No;1989;No;New;17.0000;17.0000;136;No,,,,
18847;Soviet Union;Hungary;Mi-8MT/Mi-17;Transport helicopter;Aircraft;1988;No;5;Yes;1989;No;New;6.7500;6.7500;33.75;No,,,,
26031;United States;Thailand;Bell-212/UH-1N;Helicopter;Aircraft;1988;Yes;3;No;1989;No;New;3.7000;3.7000;11.1;No,,,,
18358;Soviet Union;Angola;BRDM-2;Reconnaissance AV;Armoured vehicles;1985;Yes;40;Yes;1989;Yes;Second hand;0.1500;0.06;2.4;No,,,,
626;Israel;Taiwan;Gabriel-2;Anti-ship missile;Missiles;1977;Yes;40;Yes;1989;No;New;0.7000;0.7000;28;Yes,,,,
17454;Soviet Union;Finland;MT-LB;APC;Armoured vehicles;1986;Yes;13;Yes;1989;No;New;0.2200;0.2200;2.86;No,,,,
25944;Soviet Union;Bulgaria;9M111 Fagot/AT-4;Anti-tank missile;Missiles;1985;Yes;250;Yes;1989;Yes;New;0.0100;0.0100;2.5;Yes,,,,
4056;United States;Netherlands;MIM-104A Patriot;SAM;Missiles;1984;No;30;Yes;1989;No;New;0.7500;0.7500;22.5;No,,,,
18333;United States;Netherlands;F-16A;FGA aircraft;Aircraft;1982;No;14;Yes;1989;No;New;20.6500;20.6500;289.1;Yes,,,,
19261;Germany;Portugal;MILAN;Anti-tank missile;Missiles;1988;Yes;350;Yes;1989;No;New;0.0100;0.0100;3.5;No,,,,
26405;China;Iran;Type-63 107mm;Towed MRL;Artillery;1985;Yes;50;Yes;1989;Yes;New;0.0500;0.0500;2.5;Yes,,,,
14515;Soviet Union;East Germany (GDR);Strela-10/SA-13;Mobile SAM system;Air defence systems;1984;Yes;5;Yes;1989;No;New;1.2500;1.2500;6.25;No,,,,
24625;Czechoslovakia;Soviet Union;DANA 152mm;Self-propelled gun;Artillery;1985;Yes;30;Yes;1989;Yes;New;1.0000;1.0000;30;No,,,,
26609;Netherlands;Indonesia;WM-20;Fire control radar;Sensors;1982;Yes;1;Yes;1989;Yes;New;6.0000;6.0000;6;No,,,,
14567;United States;Pakistan;BGM-71 TOW;Anti-tank missile;Missiles;1986;No;400;Yes;1989;No;New;0.0100;0.0100;4;No,,,,
28378;France;South Africa;AS365/AS565 Panther;Helicopter;Aircraft;1988;Yes;1;No;1989;Yes;New;3.2500;3.2500;3.25;No,,,,
19146;Iraq;LF (Lebanon)*;T-55;Tank;Armoured vehicles;1988;No;40;Yes;1989;No;Second hand;1.2500;0.5;20;No,,,,
4135;United States;Egypt;MIM-72C Chaparral;SAM;Missiles;1984;No;225;Yes;1989;No;New;0.1100;0.1100;24.75;No,,,,
1007;United States;Japan;MIM-23B HAWK;SAM;Missiles;1978;No;120;Yes;1989;No;New;0.1700;0.1700;20.4;Yes,,,,
26733;United States;Brazil;PA-34 Seneca;Light transport ac;Aircraft;1985;Yes;7;Yes;1989;Yes;New;0.3700;0.3700;2.59;Yes,,,,
17637;Sweden;Norway;Giraffe-40;Air search radar;Sensors;1985;No;10;Yes;1989;No;New;3.2500;3.2500;32.5;Yes,,,,
19002;France;Uruguay;Commandant Riviere;Frigate;Ships;1988;No;1;No;1989;No;Second hand;90.0000;36;36;No,,,,
4653;Chile;Spain;T-35 Pillan;Trainer aircraft;Aircraft;1984;No;9;Yes;1989;No;New;0.2800;0.2800;2.52;No,,,,
19918;Soviet Union;Czechoslovakia;MiG-29;Fighter aircraft;Aircraft;1988;Yes;20;No;1989;No;New;20.6500;20.6500;413;No,,,,
17872;United States;Australia;S-70/UH-60A;Helicopter;Aircraft;1987;No;10;No;1989;No;New;6.5000;6.5000;65;No,,,,
24704;United States;Egypt;AIM-9L Sidewinder;SRAAM;Missiles;1986;No;155;Yes;1989;Yes;New;0.1100;0.1100;17.05;No,,,,
23333;United Kingdom;Egypt;Hussar;APC;Armoured vehicles;1987;Yes;60;Yes;1989;Yes;New;0.1400;0.1400;8.4;No,,,,
4582;France;Iraq;ARMAT;ARM;Missiles;1983;Yes;100;Yes;1989;No;New;0.4000;0.4000;40;No,,,,
20022;United States;Chad;C-130H Hercules;Transport aircraft;Aircraft;1989;No;1;No;1989;No;New;28.0000;28.0000;28;No,,,,
28713;United States;Chad;C-130H-30 Hercules;Transport aircraft;Aircraft;1988;No;1;No;1989;No;New;29.0000;29.0000;29;No,,,,
19340;United States;Japan;C-130H Hercules;Transport aircraft;Aircraft;1988;No;2;No;1989;No;New;28.0000;28.0000;56;No,,,,
19059;United States;France;C-130H-30 Hercules;Transport aircraft;Aircraft;1988;No;3;No;1989;No;New;29.0000;29.0000;87;No,,,,
8752;Soviet Union;Iraq;9M14M/AT-3;Anti-tank missile;Missiles;1973;Yes;500;Yes;1989;Yes;New;0.0100;0.0100;5;No,,,,
28623;China;Thailand;W-653/Type-653;ARV;Armoured vehicles;1987;Yes;3;Yes;1989;Yes;New;1.0000;1.0000;3;No,,,,
16791;Soviet Union;East Germany (GDR);MT-LB;APC;Armoured vehicles;1979;Yes;40;Yes;1989;Yes;New;0.2200;0.2200;8.8;No,,,,
19584;Soviet Union;Finland;9M113 Konkurs/AT-5;Anti-tank missile;Missiles;1988;Yes;20;Yes;1989;No;New;0.0200;0.0200;0.4;No,,,,
23132;United States;South Korea;L-88 LASS;Air search radar;Sensors;1986;Yes;3;Yes;1989;Yes;New;10.0000;10.0000;30;No,,,,
19914;Nigeria;Ghana;L-29 Delfin;Trainer aircraft;Aircraft;1989;No;4;No;1989;No;Second hand;1.0000;0.4;1.6;No,,,,
22984;Netherlands;Germany;STIR;Fire control radar;Sensors;1986;No;1;Yes;1989;Yes;New;4.5000;4.5000;4.5;No,,,,
26020;Netherlands;Germany;WM-20;Fire control radar;Sensors;1976;Yes;1;Yes;1989;Yes;New;6.0000;6.0000;6;No,,,,
17456;Soviet Union;Finland;T-72;Tank;Armoured vehicles;1986;Yes;15;No;1989;No;New;2.1400;2.1400;32.1;No,,,,
4927;United States;Japan;MIM-104A Patriot;SAM;Missiles;1986;No;150;Yes;1989;No;New;0.7500;0.7500;112.5;Yes,,,,
27701;Soviet Union;Bulgaria;Igla-1/SA-16;Portable SAM;Missiles;1987;Yes;50;Yes;1989;Yes;New;0.0700;0.0700;3.5;Yes,,,,
19675;Germany;Iraq;BK-117;Light helicopter;Aircraft;1988;No;8;Yes;1989;Yes;New;2.9000;2.9000;23.2;No,,,,
3035;Switzerland;Chile;Piranha;APC;Armoured vehicles;1980;Yes;22;Yes;1989;No;New;0.2600;0.2600;5.72;Yes,,,,
20875;Soviet Union;Guinea;Project-206/Bogomol;Patrol craft;Ships;1987;Yes;3;No;1989;No;New;20.0000;20.0000;60;No,,,,
18133;Soviet Union;Iraq;R-60/AA-8;SRAAM;Missiles;1985;Yes;150;Yes;1989;Yes;New;0.0900;0.0900;13.5;No,,,,
20185;Soviet Union;Czechoslovakia;R-73/AA-11;SRAAM;Missiles;1988;No;120;Yes;1989;No;New;0.1500;0.1500;18;No,,,,
19664;Soviet Union;Romania;K-13M/AA-2C;SRAAM;Missiles;1980;Yes;200;Yes;1989;No;New;0.0700;0.0700;14;Yes,,,,
29213;Soviet Union;Czechoslovakia;K-13R/AA-2B;SRAAM;Missiles;1983;Yes;54;Yes;1989;Yes;New;0.0400;0.0400;2.16;No,,,,
19010;United States;Germany;AGM-65 Maverick;ASM;Missiles;1988;Yes;100;Yes;1989;No;New;0.1500;0.1500;15;No,,,,
19012;United States;Germany;AGM-65 Maverick;ASM;Missiles;1988;Yes;400;Yes;1989;No;New;0.1500;0.1500;60;No,,,,
17441;Switzerland;Canada;Skyguard;Fire control radar;Sensors;1986;No;3;Yes;1989;No;New;5.0000;5.0000;15;No,,,,
20336;France;Saudi Arabia;AMX-10;APC;Armoured vehicles;1988;Yes;12;Yes;1989;Yes;New;0.3000;0.3000;3.6;No,,,,
17824;Soviet Union;Iraq;2S1 122mm;Self-propelled gun;Artillery;1986;Yes;20;Yes;1989;No;New;0.9000;0.9000;18;No,,,,
20990;Bulgaria;Romania;2S1 122mm;SPG turret;Artillery;1988;No;10;Yes;1989;Yes;New;0.5000;0.5000;5;No,,,,
19162;United States;Turkey;S-70/UH-60A;Helicopter;Aircraft;1988;No;6;No;1989;No;New;6.5000;6.5000;39;No,,,,
27788;Soviet Union;South Yemen;2S1 122mm;Self-propelled gun;Artillery;1988;Yes;50;Yes;1989;Yes;New;0.9000;0.9000;45;No,,,,
26909;Soviet Union;Bulgaria;2S1 122mm;Self-propelled gun;Artillery;1984;Yes;25;Yes;1989;Yes;New;0.9000;0.9000;22.5;Yes,,,,
19399;Soviet Union;Angola;D-30 122mm;Towed gun;Artillery;1985;Yes;40;Yes;1989;Yes;Second hand;0.3500;0.14;5.6;No,,,,
23875;Germany;Philippines;Bo-105;Light helicopter;Aircraft;1988;Yes;1;Yes;1989;Yes;New;1.2000;1.2000;1.2;Yes,,,,
28619;Soviet Union;Iraq;BMP-2;IFV;Armoured vehicles;1986;Yes;50;Yes;1989;Yes;New;0.9000;0.9000;45;No,,,,
2687;Soviet Union;Czechoslovakia;9M111 Fagot/AT-4;Anti-tank missile;Missiles;1978;Yes;390;Yes;1989;No;New;0.0100;0.0100;3.9;No,,,,
18998;United States;Turkey;Bell-205/UH-1H;Helicopter;Aircraft;1985;No;5;Yes;1989;No;New;2.6200;2.6200;13.1;No,,,,
14517;United Kingdom;India;Sea King HAS-5;ASW helicopter;Aircraft;1983;No;15;Yes;1989;No;New;15.0000;15.0000;225;No,,,,
4329;Soviet Union;India;MiG-29;Fighter aircraft;Aircraft;1986;No;12;Yes;1989;No;New;20.6500;20.6500;247.8;No,,,,
16716;United Kingdom;Oman;Martello;Air search radar;Sensors;1985;No;1;No;1989;No;New;13.0000;13.0000;13;No,,,,
19532;United Kingdom;Oman;Javelin;Portable SAM;Missiles;1989;No;140;Yes;1989;No;New;0.0800;0.0800;11.2;No,,,,
19346;Italy;Kuwait;Aspide;BVRAAM/SAM;Missiles;1988;Yes;60;Yes;1989;Yes;New;0.1800;0.1800;10.8;No,,,,
21805;United States;Nepal;Bell-206L LongRanger;Light helicopter;Aircraft;1989;Yes;1;No;1989;Yes;New;0.9500;0.9500;0.95;No,,,,
20261;United Kingdom;Jordan;Martello;Air search radar;Sensors;1989;No;1;No;1989;No;New;13.0000;13.0000;13;No,,,,
19137;United States;Pakistan;TPQ-36 Firefinder;Arty locating radar;Sensors;1988;No;5;No;1989;No;New;3.0000;3.0000;15;No,,,,
3490;United States;Saudi Arabia;BGM-71 TOW;Anti-tank missile;Missiles;1984;Yes;450;Yes;1989;No;New;0.0100;0.0100;4.5;No,,,,
19065;Spain;Angola;C-212;Transport aircraft;Aircraft;1988;No;4;No;1989;No;New;3.8000;3.8000;15.2;No,,,,
19679;Yugoslavia;Iraq;D-30 122mm;Towed gun;Artillery;1988;Yes;50;Yes;1989;No;New;0.3500;0.3500;17.5;Yes,,,,
19793;United States;Taiwan;Beech-1900/C-12J;Light transport ac;Aircraft;1987;No;5;No;1989;No;New;3.9000;3.9000;19.5;No,,,,
18762;Switzerland;Cyprus;Skyguard;Fire control radar;Sensors;1987;No;2;Yes;1989;Yes;New;5.0000;5.0000;10;No,,,,
18594;United Kingdom;Saudi Arabia;Transac GS;APV;Armoured vehicles;1988;Yes;30;Yes;1989;No;New;0.1400;0.1400;4.2;No,,,,
18436;United Kingdom;Finland;Watchman;Air search radar;Sensors;1988;No;2;Yes;1989;No;New;5.0000;5.0000;10;No,,,,
18672;United States;Spain;TPQ-36 Firefinder;Arty locating radar;Sensors;1987;Yes;1;Yes;1989;No;New;3.0000;3.0000;3;No,,,,
17854;Italy;Sri Lanka;SF-260TP;Trainer aircraft;Aircraft;1989;No;2;No;1989;No;New;0.5200;0.5200;1.04;No,,,,
830;United States;Japan;Bell-205/UH-1H;Helicopter;Aircraft;1972;No;8;Yes;1989;No;New;2.6200;2.6200;20.96;Yes,,,,
4929;France;Spain;HOT;Anti-tank missile;Missiles;1984;No;250;Yes;1989;No;New;0.0200;0.0200;5;No,,,,
21397;Soviet Union;Poland;2S7 Pion 203mm;Self-propelled gun;Artillery;1988;Yes;8;Yes;1989;Yes;New;1.1000;1.1000;8.8;No,,,,
18773;United States;New Zealand;AIM-9J/P Sidewinder;SRAAM;Missiles;1988;No;51;No;1989;No;New;0.0900;0.0900;4.59;No,,,,
55766;India;Sri Lanka;Tata Diesel;Diesel engine;Engines;1985;Yes;6;Yes;1989;Yes;New;0.0100;0.0100;0.06;No,,,,
19772;United States;South Korea;F-4E Phantom-2;FGA aircraft;Aircraft;1989;No;30;No;1989;No;Second hand;25.0000;10;300;No,,,,
18470;United States;South Korea;C-130H-30 Hercules;Transport aircraft;Aircraft;1986;Yes;2;No;1989;No;New;29.0000;29.0000;58;No,,,,
36778;United States;Saudi Arabia;Tornado IDS Radar;Combat ac radar;Sensors;1986;No;10;Yes;1989;No;New;2.0000;2.0000;20;No,,,,
17996;United States;South Korea;BGM-71 TOW;Anti-tank missile;Missiles;1986;No;320;Yes;1989;No;New;0.0100;0.0100;3.2;No,,,,
18139;Egypt;Iraq;RL-21 122mm;Self-propelled MRL;Artillery;1987;Yes;100;Yes;1989;No;New;0.4500;0.4500;45;No,,,,
17650;United States;Turkey;TPQ-36 Firefinder;Arty locating radar;Sensors;1986;Yes;3;Yes;1989;No;New;3.0000;3.0000;9;No,,,,
19360;Soviet Union;India;Mi-24V/Mi-35;Combat helicopter;Aircraft;1988;No;20;No;1989;No;New;8.5000;8.5000;170;No,,,,
20013;China;Bangladesh;A-5C/Fantan;FGA aircraft;Aircraft;1989;Yes;6;Yes;1989;No;New;6.7500;6.7500;40.5;No,,,,
4810;France;UAE;Mirage-2000;FGA aircraft;Aircraft;1984;No;3;No;1989;No;New;22.0000;22.0000;66;No,,,,
19617;Italy;UAE;Bell-412;Helicopter;Aircraft;1989;No;3;No;1989;No;New;5.0000;5.0000;15;No,,,,
19959;Switzerland;UAE;PC-6 Turbo Porter;Light transport ac;Aircraft;1989;No;2;No;1989;No;New;0.8000;0.8000;1.6;No,,,,
25940;Soviet Union;Bulgaria;9M113 Konkurs/AT-5;Anti-tank missile;Missiles;1985;Yes;50;Yes;1989;Yes;New;0.0200;0.0200;1;Yes,,,,
15950;United Kingdom;United States;Rapier;SAM system;Air defence systems;1985;No;200;Yes;1989;Yes;New;7.0000;7.0000;1400;No,,,,
17517;Italy;Uganda;Bell-412;Helicopter;Aircraft;1982;No;4;No;1989;No;New;5.0000;5.0000;20;No,,,,
30649;Soviet Union;Bulgaria;Kh-29/AS-14 Kedge;ASM;Missiles;1984;Yes;42;Yes;1989;Yes;New;0.2000;0.2000;8.4;No,,,,
18978;Soviet Union;East Germany (GDR);MiG-29;Fighter aircraft;Aircraft;1987;Yes;6;No;1989;No;New;20.6500;20.6500;123.9;No,,,,
15598;United Kingdom;Saudi Arabia;Tornado ADV;Fighter aircraft;Aircraft;1986;No;16;No;1989;No;New;34.5000;34.5000;552;No,,,,
19209;Poland;Czechoslovakia;Mi-2;Light helicopter;Aircraft;1971;Yes;10;No;1989;No;New;1.1000;1.1000;11;No,,,,
19142;Brazil;Iran;EMB-312 Tucano;Trainer aircraft;Aircraft;1988;No;2;Yes;1989;No;New;1.6500;1.6500;3.3;No,,,,
15849;United States;Egypt;Beech-1900 SIGINT;SIGINT aircraft;Aircraft;1985;No;2;No;1989;No;New;12.5000;12.5000;25;No,,,,
1328;Germany;Greece;Type-520;Landing craft;Ships;1989;No;2;No;1989;No;Second hand;8.8000;3.52;7.04;No,,,,
18890;Poland;Soviet Union;Mi-2;Light helicopter;Aircraft;1965;No;8;Yes;1989;No;New;1.1000;1.1000;8.8;No,,,,
15858;United Kingdom;Germany;Sea Skua;Anti-ship missile;Missiles;1986;No;70;Yes;1989;No;New;0.3000;0.3000;21;No,,,,
3576;United States;Spain;F/A-18A Hornet;FGA aircraft;Aircraft;1983;No;12;No;1989;No;New;30.0000;30.0000;360;Yes,,,,
8191;Soviet Union;North Korea;P-15U/SS-N-2B;Anti-ship missile;Missiles;1979;Yes;8;Yes;1989;Yes;New;0.7000;0.7000;5.6;No,,,,
18346;France;Spain;Roland;Mobile SAM system;Air defence systems;1984;No;5;Yes;1989;No;New;10.0000;10.0000;50;Yes,,,,
4267;Soviet Union;Yugoslavia;9M14M/AT-3;Anti-tank missile;Missiles;1974;Yes;1000;Yes;1989;No;New;0.0100;0.0100;10;Yes,,,,
